date,log_return,volatility_garch
2018-01-22,-0.1061516239916154,0.06355379042687861
2018-01-23,-0.0593742675387651,0.06717587955114547
2018-01-24,-0.0057798854236535,0.06406145813079242
2018-01-25,0.044186097256436,0.058416837230073834
2018-01-26,-0.0088422593675526,0.05511098406484677
2018-01-27,-0.0078463941025562,0.05064142116986233
2018-01-28,0.0238202140481624,0.04673838980259937
2018-01-29,0.0297606334864112,0.04384109500406547
2018-01-30,-0.0424536979806067,0.04174018371973017
2018-01-31,-0.1113251530296689,0.041358204793516075
2018-02-01,0.0112952004213185,0.05257105157917628
2018-02-02,-0.1084579963887277,0.048425116913015924
2018-02-03,-0.0377562277501246,0.056634609132986374
2018-02-04,0.0382326529371476,0.05332615366196256
2018-02-05,-0.1029908379050033,0.050346389906252474
2018-02-06,-0.1739821153312485,0.05693979525100672
2018-02-07,0.1087091908266318,0.0761212246019004
2018-02-08,-0.0172619060539836,0.07688329066036104
2018-02-09,0.0811541619866999,0.06991398456114445
2018-02-10,0.055463550667887,0.06834089185221508
2018-02-11,-0.0132591225225879,0.06444198648890272
2018-02-12,-0.0587482633845994,0.05888974770437899
2018-02-13,0.093474997625128,0.057101870022554846
2018-02-14,-0.0374666352201505,0.059835472983545614
2018-02-15,0.0991607409375173,0.05603268187506396
2018-02-16,0.0683618402315501,0.05992858928475868
2018-02-17,0.006617573638271,0.058699285197016914
2018-02-18,0.0823828388494888,0.053697741814114616
2018-02-19,-0.0517921730312876,0.05555729920004948
2018-02-20,0.0618736989571068,0.05363441412112868
2018-02-21,0.015767739342639,0.05283099833305779
2018-02-22,-0.0645917022479102,0.04876217622404354
2018-02-23,-0.0662612109888093,0.04962007272146094
2018-02-24,0.0291656796933906,0.05051724212962055
2018-02-25,-0.0485354452904134,0.04735888737322214
2018-02-26,-0.0152319775185067,0.04656239315638205
2018-02-27,0.0701155398661988,0.04343287940571951
2018-02-28,0.0340346060989737,0.04588444129682716
2018-03-01,-0.0310294706364639,0.043760393894034924
2018-03-02,0.0518268760447461,0.04197023869934811
2018-03-03,0.0122883908319687,0.04228006885879012
2018-03-04,0.0357318317325563,0.03957481815545562
2018-03-05,0.0019910549659772,0.03866473269349426
2018-03-06,0.0052586502353066,0.03633540821659244
2018-03-07,-0.0710173788230337,0.03437945498185432
2018-03-08,-0.0785471416488412,0.03993081185581193
2018-03-09,-0.0589575112734928,0.045157930849933386
2018-03-10,-0.0061347880340113,0.04604495301974059
2018-03-11,-0.0518201479571904,0.042732516012439006
2018-03-12,0.0773108269362234,0.04322631382207698
2018-03-13,-0.0397746995350657,0.046851951513656544
2018-03-14,-0.0011163614975213,0.04527695515820404
2018-03-15,-0.1060320200204029,0.04201072590518218
2018-03-16,0.0037476840392196,0.051871813828719235
2018-03-17,0.0045061419786664,0.04772158215362832
2018-03-18,-0.0518681342083264,0.04412587816054443
2018-03-19,0.0380205854342642,0.04433785374325361
2018-03-20,0.0483021067251669,0.042789448403245674
2018-03-21,0.0322437188708731,0.04253065030355634
2018-03-22,0.0017722101148143,0.040821426078929496
2018-03-23,-0.0227457297277354,0.03817568505336767
2018-03-24,0.0171687110599653,0.036722468874928436
2018-03-25,-0.0241068353713547,0.03504156074149695
2018-03-26,-0.0200823393108454,0.03423046895100794
2018-03-27,-0.0342897150422046,0.03328443055618843
2018-03-28,-0.046929196809366,0.03373464287529255
2018-03-29,0.0153845995453047,0.035614594947024986
2018-03-30,-0.1044295086010043,0.03403668109907141
2018-03-31,-0.0391592241931877,0.046598079961299464
2018-04-01,0.0119749652889784,0.045011007876408236
2018-04-02,-0.0187155633094128,0.04190707855275448
2018-04-03,0.0344045006234859,0.03962000875665444
2018-04-04,0.0512233528434774,0.03858614485070112
2018-04-05,-0.0842247558070547,0.039540710398162926
2018-04-06,-0.0062010689103048,0.04591798483076234
2018-04-07,-0.026050420941338,0.04262425802947025
2018-04-08,0.0405697786351022,0.040659016009887666
2018-04-09,0.0161371745154427,0.040001239183356935
2018-04-10,-0.0366556127664547,0.03776260289495078
2018-04-11,0.0094124149985558,0.037550085421094434
2018-04-12,0.0193528156141503,0.035477644186118575
2018-04-13,0.1241269358103827,0.03410819336884145
2018-04-14,0.0008501580097129,0.0506045304088336
2018-04-15,0.0113688588137785,0.046614847139342996
2018-04-16,0.0420365598136076,0.04327264763630417
2018-04-17,-0.0330081291414391,0.04227639598426922
2018-04-18,-0.0196212591282872,0.04089730362576566
2018-04-19,0.0325359275749463,0.03881472294816094
2018-04-20,0.0159064964896259,0.03776745837032973
2018-04-21,0.0643764846304901,0.035865945110611606
2018-04-22,0.0056083625781382,0.03936724953941984
2018-04-23,-0.0105233095104538,0.03695730398138847
2018-04-24,0.0144836977090831,0.035088252021818395
2018-04-25,0.082353199187426,0.0335602232322072
2018-04-26,-0.0919321066375034,0.04099280399587322
2018-04-27,0.0480882101323167,0.048373225209221084
2018-04-28,-0.0322395933068439,0.04705400662048602
2018-04-29,0.0394291828621394,0.044819473605944515
2018-04-30,0.0075236141874956,0.043310506878836315
2018-05-01,-0.0191360410144031,0.040356296373458334
2018-05-02,-0.0132401666945921,0.038332725831217856
2018-05-03,0.0127390013769828,0.03634906772475252
2018-05-04,0.0535371578910672,0.03455557624718456
2018-05-05,-0.0044331703335629,0.0367588301191815
2018-05-06,0.0160943550650832,0.03476562676620888
2018-05-07,-0.0208433830794322,0.033357589683753956
2018-05-08,-0.02962092312799,0.03261880579497964
2018-05-09,-0.0148531014187705,0.03273793727232264
2018-05-10,0.0097370785472516,0.031751267391049734
