date,close,high,low,open,volume,log_return,rv20
,^gspc,^gspc,^gspc,^gspc,^gspc,,
2018-01-31,2823.81005859375,2839.260009765625,2813.0400390625,2832.409912109375,4276270000,0.0004888658586947881,0.005595924825747651
2018-02-01,2821.97998046875,2835.9599609375,2812.699951171875,2816.449951171875,3977380000,-0.0006482983520233253,0.005548048866108538
2018-02-02,2762.1298828125,2808.919921875,2759.969970703125,2808.919921875,4340220000,-0.021436680516698812,0.007595021738684919
2018-02-05,2648.93994140625,2763.389892578125,2638.169921875,2741.06005859375,5310840000,-0.041842540938381426,0.012022508843836146
2018-02-06,2695.139892578125,2701.0400390625,2593.070068359375,2614.780029296875,5917350000,0.017290573348937084,0.012742151040741704
2018-02-07,2681.659912109375,2727.669921875,2681.330078125,2690.949951171875,4646300000,-0.005014138223752627,0.012761240209990869
2018-02-08,2581.0,2685.27001953125,2580.56005859375,2685.010009765625,5333840000,-0.0382590522458017,0.01520463929001374
2018-02-09,2619.550048828125,2638.669921875,2532.68994140625,2601.780029296875,5690110000,0.014825645199524345,0.015575167897462813
2018-02-12,2656.0,2672.610107421875,2622.449951171875,2636.75,4069220000,0.013818665678186272,0.015879976278727087
2018-02-13,2662.93994140625,2668.840087890625,2637.080078125,2646.27001953125,3503540000,0.0026095219802775584,0.01591614908139744
2018-02-14,2698.6298828125,2702.10009765625,2648.8701171875,2651.2099609375,4011940000,0.013313439808897012,0.0160889949281646
2018-02-15,2731.199951171875,2731.510009765625,2689.820068359375,2713.4599609375,3696140000,0.01199686177677526,0.016386367160616467
2018-02-16,2732.219970703125,2754.419921875,2725.110107421875,2727.139892578125,3646920000,0.0003733996499216942,0.01633895010720727
2018-02-20,2716.260009765625,2737.60009765625,2706.760009765625,2722.989990234375,3646920000,-0.0058585171068373425,0.01621117130840087
2018-02-21,2701.330078125,2747.75,2701.2900390625,2720.530029296875,3789040000,-0.005511664483310908,0.016195553931149916
2018-02-22,2703.9599609375,2731.260009765625,2697.77001953125,2710.419921875,3720620000,0.0009730774855778604,0.0162087812526411
2018-02-23,2747.300048828125,2747.760009765625,2713.739990234375,2715.800048828125,3200360000,0.015901278245121022,0.016711677947343514
2018-02-26,2779.60009765625,2780.639892578125,2753.780029296875,2757.3701171875,3436590000,0.011688438620627399,0.01670817212674973
2018-02-27,2744.280029296875,2789.14990234375,2744.219970703125,2780.449951171875,3752070000,-0.012788311441467541,0.016858978603001597
2018-02-28,2713.830078125,2761.52001953125,2713.5400390625,2753.780029296875,4244570000,-0.011157806083656078,0.01686463652484756
2018-03-01,2677.669921875,2730.889892578125,2659.64990234375,2715.219970703125,4514490000,-0.013413965854876449,0.017043880695295215
2018-03-02,2691.25,2696.25,2647.320068359375,2658.889892578125,3891250000,0.005058785485198549,0.017126854073924627
2018-03-05,2720.93994140625,2728.090087890625,2675.75,2681.06005859375,3733640000,0.01097161761052657,0.01675725445074831
2018-03-06,2728.1201171875,2732.080078125,2711.260009765625,2730.179931640625,3389030000,0.0026353829319968104,0.013687038416466438
2018-03-07,2726.800048828125,2730.60009765625,2701.739990234375,2710.179931640625,3406690000,-0.000483991825716375,0.01317331991587799
2018-03-08,2738.969970703125,2740.449951171875,2722.64990234375,2732.75,3206040000,0.004453148208884628,0.01313160457782471
2018-03-09,2786.570068359375,2786.570068359375,2751.5400390625,2752.909912109375,3376870000,0.017229546741207587,0.009835913716392548
2018-03-12,2783.02001953125,2796.97998046875,2779.260009765625,2790.5400390625,3216960000,-0.001274797337998416,0.009543275216670958
2018-03-13,2765.31005859375,2801.89990234375,2758.679931640625,2792.31005859375,3324290000,-0.006383910414314703,0.00940910538535722
2018-03-14,2749.47998046875,2777.110107421875,2744.3798828125,2774.06005859375,3394630000,-0.005740969825188786,0.009565385587229474
2018-03-15,2747.330078125,2763.030029296875,2741.469970703125,2754.27001953125,3543710000,-0.0007822363990965508,0.00916786343306265
2018-03-16,2752.010009765625,2761.85009765625,2749.969970703125,2750.570068359375,5429140000,0.0017019979472317418,0.008793030472184039
2018-03-19,2712.919921875,2741.3798828125,2694.590087890625,2741.3798828125,3327460000,-0.014306040541373417,0.009386221187704255
